SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,GS-effective-atoms,dataset,k,seed
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.6833333333333333,0.7666666666666667,0.7666666666666667,0.75,0.8333333333333334,0.85,1.3848735094070435,LFW-Face,2,10
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.8,0.8,0.85,0.85,0.8666666666666667,1.3487706184387207,LFW-Face,2,11
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8166666666666667,0.7666666666666667,0.75,0.9,0.95,0.95,1.4196852445602417,LFW-Face,2,12
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.6166666666666667,0.75,0.7666666666666667,0.7833333333333333,0.6166666666666667,0.9,1.4799754619598389,LFW-Face,2,13
0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6833333333333333,0.6833333333333333,0.6,0.6,0.6166666666666667,0.7,1.4699323177337646,LFW-Face,2,14
0.7,0.7166666666666667,0.7333333333333333,0.5166666666666667,0.7,0.7833333333333333,0.8,0.7166666666666667,0.7166666666666667,1.2516454458236694,LFW-Face,2,15
0.8166666666666667,0.8333333333333334,0.85,0.65,0.7666666666666667,0.75,0.85,0.7,0.8833333333333333,1.601291298866272,LFW-Face,2,16
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7,0.7833333333333333,0.8,0.7833333333333333,0.7666666666666667,0.8166666666666667,1.5208781957626343,LFW-Face,2,17
0.7333333333333333,0.7333333333333333,0.75,0.75,0.8833333333333333,0.8,0.8333333333333334,0.8833333333333333,0.9166666666666666,1.4860938787460327,LFW-Face,2,18
0.85,0.85,0.8333333333333334,0.8333333333333334,0.8166666666666667,0.85,0.9166666666666666,0.85,0.8833333333333333,1.440793514251709,LFW-Face,2,19
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.75,0.8333333333333334,0.8166666666666667,0.9166666666666666,0.8833333333333333,0.8833333333333333,1.7813907861709595,LFW-Face,3,5
0.8,0.7833333333333333,0.8,0.7333333333333333,0.8166666666666667,0.8166666666666667,0.75,0.7833333333333333,0.8333333333333334,2.092621326446533,LFW-Face,3,6
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.7333333333333333,0.75,0.8166666666666667,0.8666666666666667,0.9,1.8620543479919434,LFW-Face,3,7
0.7666666666666667,0.7666666666666667,0.75,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.8833333333333333,0.7833333333333333,0.85,1.8166557550430298,LFW-Face,3,8
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.75,0.7833333333333333,0.7666666666666667,0.75,0.75,0.8166666666666667,2.045663356781006,LFW-Face,3,9
0.8833333333333333,0.8666666666666667,0.8833333333333333,0.7,0.85,0.8166666666666667,0.8666666666666667,0.9,0.9333333333333333,1.788843035697937,LFW-Face,3,10
0.8333333333333334,0.8333333333333334,0.8166666666666667,0.7666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.9333333333333333,0.8833333333333333,1.7107232809066772,LFW-Face,3,11
0.9,0.9166666666666666,0.9,0.8666666666666667,0.85,0.7833333333333333,0.9166666666666666,0.9666666666666667,0.9166666666666666,1.9035487174987793,LFW-Face,3,12
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.6166666666666667,0.75,0.7666666666666667,0.8,0.6166666666666667,0.8833333333333333,1.776131272315979,LFW-Face,3,13
0.55,0.55,0.55,0.6333333333333333,0.6,0.6,0.6833333333333333,0.7333333333333333,0.7166666666666667,1.7958883047103882,LFW-Face,3,14
0.7833333333333333,0.7833333333333333,0.7666666666666667,0.6833333333333333,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.7833333333333333,0.7666666666666667,1.8665333986282349,LFW-Face,3,15
